s,a,r,sp
81981,0,0,86971
17935,1,0,69144
5785,0,0,34023
69585,0,-1,54020
4486,0,0,95039
17368,0,-1,51561
20911,0,0,87694
81667,0,0,94912
7450,0,-1,99648
69688,0,-1,13810
9374,1,0,96069
40187,0,0,96482
71403,0,0,94884
29648,1,0,95015
70660,1,0,54134
49372,1,0,19496
82548,0,0,90135
23101,0,0,48933
81981,0,0,86971
17935,1,0,69144
20499,0,0,66432
69585,0,-1,54020
33630,0,0,22981
17368,0,-1,51561
20911,1,0,30536
58861,0,-1,14867
89642,0,-1,33065
34539,1,0,4882
65352,1,0,36432
57740,1,0,39483
46271,0,0,8463
46045,1,0,13167
8405,0,0,34961
46792,0,0,92346
15591,1,0,31180
62862,0,-1,3087
65219,0,0,7497
52150,2,0,32431
9938,0,-1,60533
37044,1,0,91
56882,0,0,36401
81667,0,0,94912
91,0,0,78530
36401,0,0,64910
94912,0,-1,14867
84378,0,-1,33065
31761,2,0,2104
1461,1,0,33654
10201,0,0,71377
74644,1,0,56536
2529,1,0,73774
6041,0,0,99139
46792,1,0,67790
71377,0,0,47871
87770,0,0,3574
86623,1,0,76546
34523,0,0,34023
54348,1,0,5408
35418,0,-1,23673
79183,2,0,79915
90127,0,0,66449
35750,0,0,24169
15756,0,0,60359
79915,0,-1,66320
2453,0,-1,37883
50861,0,-1,18352
45002,1,0,15345
75815,1,0,46895
68203,1,0,49946
56734,1,0,77340
97746,0,0,12606
6041,0,0,30373
39139,0,0,92346
15591,1,0,31180
87770,1,0,45862
43840,0,0,652
34523,0,0,34023
594,0,-1,54020
4486,0,0,95039
57017,0,0,1748
39419,0,-1,15062
89266,0,0,63624
98697,0,-1,82619
83473,0,-1,5972
3485,1,0,90180
73185,0,0,6349
81270,1,0,46661
69801,1,0,74055
10813,1,0,33174
28412,0,0,86697
35887,0,0,94493
93450,0,0,12938
81981,0,0,86971
17935,1,0,69144
18158,0,0,66208
94493,0,0,14275
12938,0,-1,23673
79183,0,-1,66320
80431,1,0,45295
14697,0,-1,88466
22464,0,-1,41579
58938,1,0,45633
28638,1,0,60831
37378,0,0,27859
46271,1,0,66877
87283,1,0,9644
4882,1,0,36119
36432,0,0,32566
27859,0,-1,70791
76423,0,0,17134
70564,1,0,60487
31654,0,0,85135
44246,0,-1,91723
47611,2,0,29330
52077,0,0,87098
88832,2,0,5104
29330,0,0,84170
7600,0,0,37094
44314,0,-1,11850
52571,0,-1,51174
84899,1,0,55242
54599,1,0,86792
63339,1,0,28730
35518,0,0,18954
56536,1,0,40010
35248,1,0,5372
50446,0,0,10481
17398,0,0,98962
67012,0,0,25618
17935,1,0,69144
20499,0,0,66432
594,0,-1,54020
33630,0,0,22981
5809,0,0,18778
49162,0,0,4634
51153,0,-1,95267
65943,0,-1,55760
39920,0,-1,51174
26682,0,0,24171
58858,1,0,39139
94812,0,0,23101
87493,1,0,8272
99026,1,0,86623
28321,0,0,85749
90953,1,0,54348
15699,0,-1,23673
8681,0,0,79183
76269,1,0,90127
29873,2,0,71572
60597,0,0,28166
79183,0,-1,66320
80431,1,0,45295
32397,0,0,25346
18470,0,-1,19074
96178,0,0,15666
24194,2,0,44738
15666,0,-1,13810
9374,1,0,96069
40187,1,0,11267
48927,0,0,2694
76345,1,0,41712
78470,1,0,831
96069,1,0,66193
11267,0,0,68764
25170,0,-1,50645
1038,0,0,59893
13323,0,0,10816
16810,1,0,50205
96905,0,-1,76740
32628,0,0,64232
89441,0,0,68960
97196,0,0,44314
64232,0,-1,28669
63007,0,0,56105
60430,0,-1,828
81538,1,0,51881
12351,1,0,83431
4739,0,0,25115
83621,0,0,24253
95154,1,0,43864
59779,1,0,34606
39417,1,0,76767
25115,0,0,16637
31628,0,-1,60050
44717,1,0,36040
90855,0,0,51565
60331,0,0,1407
44762,0,-1,48765
80431,0,0,2453
73620,0,-1,88466
15694,0,0,50888
2416,0,-1,99071
34539,1,0,4882
65352,0,0,41581
16502,1,0,43006
88681,1,0,70400
46045,0,0,12606
6041,1,0,25629
503,0,-1,96308
2422,1,0,13636
95052,0,0,38980
80652,0,0,97793
16132,1,0,33175
4486,0,0,95039
17368,0,-1,51561
40039,0,0,58732
64637,0,0,28107
7450,0,-1,99648
91055,0,0,99286
60430,0,-1,828
73681,1,0,44024
43381,1,0,75574
52121,1,0,78625
24300,1,0,6019
81664,1,0,48786
44024,0,0,51155
78107,0,0,66511
84357,1,0,99946
56536,0,0,68190
73774,0,0,9755
30373,0,-1,66867
68223,2,0,89805
38280,0,0,1841
82647,0,-1,57796
87497,0,-1,45687
85468,0,0,80000
94468,0,0,18834
80000,0,-1,82155
66057,1,0,52752
13222,1,0,84302
5610,0,0,75729
94141,1,0,14747
35153,0,0,87528
32421,0,0,27308
39139,1,0,60137
80064,0,-1,95491
16256,1,0,87347
45508,0,0,24988
59991,1,0,35750
60597,0,0,28166
18808,0,0,79915
24988,0,0,33427
35750,0,0,24169
28166,0,-1,76740
97254,0,-1,28669
90817,0,-1,13810
96110,1,0,82805
26923,1,0,98003
35663,1,0,17406
63081,1,0,44800
4093,1,0,87567
82805,0,0,75977
41816,0,0,58858
15591,0,0,8840
8272,0,0,17579
17935,1,0,69144
97469,0,-1,20429
60821,0,0,75900
63063,0,-1,24542
55932,0,0,45283
93410,0,0,78230
77428,0,-1,75186
1881,0,0,52571
25800,0,-1,83568
82913,0,0,55032
8143,1,0,79223
16883,1,0,82274
89062,1,0,9668
30074,1,0,52435
55032,0,-1,2178
91243,1,0,52754
8381,0,0,22812
19696,0,0,58527
79733,0,0,72658
41526,0,0,9095
15237,1,0,80628
58527,0,0,73258
72658,0,-1,83055
79303,0,-1,10358
30509,0,0,19608
37053,0,0,32528
19608,0,-1,73973
32983,1,0,19678
2683,1,0,34876
11423,1,0,37927
99954,0,0,21013
94876,1,0,66121
98388,0,0,34523
43289,1,0,80639
19741,0,0,88558
43348,0,0,18216
17935,1,0,69144
97469,0,-1,20429
41526,0,0,9095
26762,0,0,80628
80014,0,-1,57796
27122,0,0,34192
26298,0,-1,18466
17767,0,0,66603
52728,0,-1,4086
34539,1,0,4882
65352,1,0,36432
57740,1,0,39483
46271,0,0,3384
40966,1,0,24440
19678,2,0,89802
34876,1,0,37712
37927,0,0,94812
62862,0,-1,3087
65219,0,0,7497
29843,0,0,64864
36428,1,0,7939
10139,0,0,15842
7497,0,0,90963
64864,0,-1,26166
63559,0,0,97378
80490,0,-1,32376
56848,2,0,76423
66491,0,-1,41579
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
51809,1,0,38285
46098,0,-1,4517
42854,1,0,99744
35484,0,0,47049
42471,0,-1,783
60726,1,0,42185
55893,0,0,76976
16197,0,-1,70953
59080,0,0,18573
94060,0,0,83159
18573,0,0,48915
83159,2,0,30591
48915,0,0,42013
30591,0,-1,4215
32983,1,0,19678
2683,0,0,28672
94812,1,0,15591
66991,1,0,87770
94876,1,0,66121
98388,1,0,56863
28672,0,0,90135
19741,2,0,51682
8272,0,0,17579
17935,1,0,69144
20499,0,0,66432
69585,0,-1,54020
4486,0,0,95039
32135,0,0,46866
49162,0,0,4634
51153,0,-1,95267
23049,0,-1,55760
1881,0,0,52571
25800,0,-1,83568
76214,2,0,62909
7027,1,0,78107
15767,0,0,71377
74644,1,0,56536
2529,1,0,73774
6041,0,0,99139
46792,1,0,67790
71377,0,0,16637
56536,1,0,53515
73774,1,0,41162
99139,0,-1,62717
28599,0,0,55533
92969,0,0,59150
38624,0,0,4229
30769,0,0,31026
9095,0,-1,96982
81064,0,0,94863
1144,0,-1,87798
52728,0,-1,4086
73681,1,0,44024
43381,1,0,75574
52121,0,0,64455
99219,1,0,19825
40231,1,0,62592
57830,1,0,27954
73028,0,0,58858
80064,0,-1,95491
16256,1,0,87347
13323,0,0,10816
16810,0,0,12944
79892,0,0,11323
18808,0,0,79915
10816,0,0,76269
12944,0,-1,55252
77428,0,-1,75186
34079,0,-1,51174
84899,1,0,55242
54599,1,0,86792
63339,1,0,28730
35518,0,0,18954
56536,1,0,40010
35248,0,0,48508
14347,1,0,78296
17398,0,0,98962
67012,0,0,25618
17935,1,0,69144
97469,0,-1,20429
41526,0,0,9095
15237,0,0,43475
87416,0,0,385
30769,0,0,31026
9095,0,-1,96982
65943,0,-1,55760
39920,0,-1,51174
77330,1,0,47673
8143,1,0,79223
16883,1,0,82274
89062,0,0,8844
30074,1,0,52435
47673,0,0,56662
83614,1,0,86450
3017,2,0,18606
68474,0,0,86904
86623,0,0,4966
97469,0,-1,20429
41526,0,0,9095
30878,0,0,21431
80014,1,0,385
12595,0,0,79733
9095,0,-1,96982
23049,0,-1,55760
39920,0,-1,51174
71135,1,0,57830
1948,1,0,73028
10688,0,0,63724
66991,1,0,87770
94876,1,0,66121
98388,1,0,56863
39139,0,0,96496
67874,0,0,66026
81981,1,0,33433
17935,0,0,6354
20499,0,0,66432
594,0,-1,54020
25367,0,0,56669
57017,2,0,89210
91051,0,-1,15062
66460,0,-1,84224
94994,0,0,41939
27362,0,0,46464
41939,0,-1,73973
41178,1,0,27873
27230,1,0,43071
80731,0,0,74858
93270,0,0,37643
95154,1,0,43864
59779,0,0,91764
39417,1,0,76767
80342,0,-1,52732
34864,0,0,29544
70564,1,0,60487
88812,0,-1,3268
65666,1,0,40637
23793,0,-1,56663
45825,0,0,57193
86560,0,0,1276
2416,0,-1,99071
9374,1,0,96069
40187,0,0,96482
71403,1,0,36794
43582,1,0,64188
84594,1,0,6955
2193,1,0,72317
96482,0,-1,8256
46593,1,0,3483
39223,0,0,98078
51508,0,0,30988
16132,0,0,51153
4486,0,0,95039
5809,0,0,18778
30988,0,0,14454
51153,0,-1,95267
23049,0,-1,55760
39920,0,-1,51174
32983,1,0,19678
2683,1,0,34876
11423,0,0,63724
66991,1,0,87770
94876,1,0,66121
98388,0,0,34523
43289,1,0,80639
67874,0,0,66026
81981,1,0,33433
17935,0,0,6354
97469,0,-1,20429
41526,0,0,9095
6974,0,0,59150
38624,0,0,4229
72658,0,-1,83055
79303,2,0,50383
24729,0,0,17654
40287,0,-1,33351
38445,0,-1,82155
32983,0,0,24171
58858,0,0,35887
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
28321,0,0,85749
14275,2,0,594
93450,1,0,39601
81981,0,0,86971
17935,1,0,69144
85749,0,0,72682
594,0,-1,54020
4486,0,0,95039
17368,2,0,1748
49162,1,0,42060
28052,0,0,91498
95039,0,-1,5428
97254,0,-1,28669
96178,0,0,15666
49739,0,-1,828
76214,1,0,62909
7027,1,0,78107
15767,1,0,81158
43185,1,0,8552
84197,0,0,5231
59779,1,0,34606
39417,1,0,76767
76982,0,0,73456
56536,0,0,68190
12606,0,0,96502
56863,0,0,87006
80639,0,0,44707
12938,0,-1,23673
79183,0,-1,66320
78238,0,-1,37883
71883,0,-1,18352
96637,0,0,13226
66337,1,0,98530
75077,1,0,40468
47256,1,0,67862
4620,1,0,10629
13226,0,-1,16567
5632,0,0,73193
55310,0,0,71076
84312,0,0,68851
81403,1,0,32439
64062,0,-1,91115
95674,0,0,64226
4412,0,0,9233
57336,1,0,46135
65943,0,-1,55760
1881,0,0,52571
52290,0,0,71778
52571,0,-1,51174
96637,1,0,66980
66337,0,0,156
75077,1,0,40468
47256,1,0,67862
4620,1,0,10629
66980,0,0,78426
68117,0,-1,48409
86746,1,0,82523
18263,0,0,98078
51508,1,0,86216
30893,0,0,18720
4486,0,0,95039
5809,0,0,18778
49162,0,0,4634
18720,0,0,62354
95039,0,-1,5428
64232,0,-1,28669
69688,0,-1,13810
14823,1,0,46279
45636,1,0,16716
54376,0,0,67874
87493,1,0,8272
99026,0,0,28029
34023,0,0,97469
90953,1,0,54348
51521,0,0,35418
81981,1,0,33433
28029,0,0,91475
97469,0,-1,20429
41526,0,0,9095
72395,0,-1,24542
3399,1,0,62806
24388,0,0,74559
94247,0,-1,75186
92190,0,0,29305
46929,2,0,12217
29305,0,-1,51174
81466,1,0,51809
12279,1,0,83359
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
51809,0,0,84315
11267,1,0,14103
14318,1,0,46259
41712,0,0,19957
23492,0,-1,98112
11114,0,0,42329
28204,0,0,76012
82670,0,0,5968
3102,0,-1,72871
398,0,-1,81270
17901,0,-1,82155
38062,1,0,8405
7762,1,0,39955
16502,1,0,43006
88681,0,0,37643
95154,1,0,43864
59779,0,0,91764
39417,1,0,76767
76982,0,0,73456
28666,0,0,74055
73774,0,0,9755
30373,0,-1,66867
49101,1,0,4260
31602,2,0,33536
92095,0,0,34625
72658,0,-1,83055
16564,0,0,50383
66690,0,-1,85381
19984,0,0,49021
74735,0,-1,61637
62351,1,0,32694
32051,1,0,64244
40791,1,0,67295
12970,0,0,44082
81664,0,0,79129
62909,1,0,33033
78107,0,0,59136
76982,1,0,92571
24253,0,-1,67703
45692,0,-1,98056
3526,0,0,22020
75030,0,0,62948
82265,1,0,5049
59321,0,-1,81270
21463,0,0,69627
97014,0,0,89668
69627,0,0,78066
89668,0,-1,89476
71135,1,0,57830
1948,1,0,73028
10688,1,0,92431
99219,1,0,19825
40231,2,0,62592
57830,0,0,27308
39139,0,0,96496
19741,0,0,88558
81981,1,0,33433
17935,0,0,6354
18158,2,0,34023
594,0,-1,54020
84018,0,0,99021
57017,1,0,89210
91051,0,-1,15062
89266,0,0,63624
73815,0,0,56101
79869,0,0,37834
63624,0,-1,84224
19608,0,-1,73973
81466,1,0,51809
12279,1,0,83359
21019,0,0,13673
32085,1,0,13804
89449,1,0,72923
51809,0,0,59840
86792,1,0,89628
17106,0,-1,90259
79539,0,0,11078
57963,1,0,49286
42027,0,0,9711
95586,0,0,39220
65411,0,-1,83667
95414,0,0,30435
17858,0,-1,10131
49299,0,0,50888
2416,0,-1,99071
31761,1,0,2104
1461,1,0,33654
10201,1,0,75592
82380,1,0,2986
39744,0,0,5231
59779,1,0,34606
39417,0,0,53737
76982,0,0,66081
49161,0,0,60815
5231,0,0,57893
34606,1,0,31837
53737,0,-1,57699
46099,0,-1,51975
48786,0,-1,23935
94552,0,-1,5562
38062,1,0,8405
7762,1,0,39955
16502,1,0,43006
88681,0,0,37643
95154,0,0,1022
59779,0,0,91764
39417,1,0,76767
76982,0,0,66081
37643,0,0,66680
1022,0,-1,22003
73868,0,-1,27187
13520,1,0,64580
33223,0,-1,29962
7639,0,-1,99313
58938,1,0,45633
28638,0,0,99171
57740,1,0,39483
46271,1,0,66877
87283,1,0,9644
4882,1,0,36119
99171,0,-1,78562
16899,1,0,73789
9529,0,0,38689
31006,0,0,94452
53233,0,0,38202
13636,0,0,51905
98078,0,0,82861
91051,0,-1,15062
66460,0,-1,84224
46190,0,-1,73973
34777,0,0,28321
1895,1,0,43289
98962,1,0,19741
87493,1,0,8272
99026,1,0,86623
28321,0,0,85749
90953,0,0,594
93450,0,0,12938
81981,1,0,33433
17935,1,0,69144
85749,0,0,72682
594,0,-1,54020
81456,0,-1,5428
84285,2,0,43692
37094,0,0,20253
7355,0,0,39167
43692,0,0,62794
20253,0,-1,86798
16382,0,-1,41736
73681,1,0,44024
43381,0,0,40846
15767,1,0,81158
43185,1,0,8552
84197,0,0,12606
6041,1,0,25629
503,0,-1,96308
2422,1,0,13636
95052,0,0,18478
60150,0,0,3784
53233,0,0,38202
13636,1,0,74245
18478,0,-1,28297
87142,0,0,58732
58861,0,-1,14867
46939,0,0,84378
90447,0,0,98678
84378,0,-1,33065
62351,1,0,32694
32051,1,0,64244
40791,1,0,67295
12970,1,0,94689
70334,1,0,37456
32694,0,0,37292
64244,0,0,5516
73546,0,0,74866
19825,0,0,66991
66121,1,0,33509
30373,0,-1,66867
60559,0,0,15549
63063,0,-1,24542
88944,0,0,22209
93410,0,0,78230
23866,0,0,49859
22209,0,-1,61397
2416,0,-1,99071
81466,1,0,51809
12279,1,0,83359
21019,0,0,2694
76345,1,0,41712
78470,1,0,831
96069,0,0,6791
33743,1,0,97692
25170,0,-1,50645
1038,1,0,98017
55454,0,0,25726
92684,0,0,35750
60597,0,0,28166
18808,0,0,79915
24988,0,0,33427
35750,0,0,24169
28166,0,-1,76740
97254,0,-1,28669
90817,0,-1,13810
81466,1,0,51809
12279,1,0,83359
21019,0,0,2694
76345,1,0,41712
78470,0,0,12289
96069,1,0,66193
11267,1,0,14103
2694,0,-1,69658
58938,0,0,95109
35316,0,0,65599
15024,1,0,16958
87933,0,0,52069
795,0,0,8681
1234,0,-1,63263
20413,0,0,83883
14726,0,-1,40932
91562,0,0,63102
88186,0,-1,41736
62351,1,0,32694
32051,1,0,64244
40791,1,0,67295
12970,1,0,94689
70334,1,0,37456
32694,0,0,48622
75574,0,0,8049
92431,0,0,94812
87770,0,0,3574
86623,1,0,76546
34523,0,0,34023
594,0,-1,54020
33630,0,0,22981
17368,0,-1,51561
20911,0,0,87694
81667,0,0,94912
13142,0,-1,99648
69688,0,-1,13810
76214,1,0,62909
7027,1,0,78107
15767,1,0,81158
43185,1,0,8552
84197,0,0,12606
6041,0,0,99139
46792,0,0,92346
15591,1,0,31180
87770,1,0,45862
43840,0,0,652
34523,0,0,34023
594,0,-1,54020
4486,0,0,95039
57017,0,0,1748
39419,0,-1,15062
89266,0,0,63624
98697,0,-1,82619
83473,0,-1,5972
76214,1,0,62909
7027,1,0,78107
15767,0,0,25115
83621,1,0,49161
95154,1,0,43864
59779,1,0,34606
39417,0,0,53737
25115,0,0,16637
56536,0,0,68190
73774,0,0,78521
25629,1,0,39212
61112,0,-1,96308
7188,0,-1,3711
84170,0,0,26193
97469,0,-1,86798
95088,0,0,88186
91562,0,0,63102
88186,0,-1,41736
26682,0,0,24171
58858,1,0,39139
94812,1,0,15591
66991,1,0,87770
94876,1,0,66121
24171,0,0,32919
43289,0,0,37335
93450,0,0,12938
81981,1,0,33433
17935,0,0,6354
88315,0,-1,20429
74312,0,0,15549
63063,0,-1,24542
3399,1,0,62806
37433,0,-1,81977
21758,0,0,61051
60698,0,0,79800
61051,0,-1,61637
12454,1,0,43910
43267,1,0,14347
52007,0,0,67874
87493,1,0,8272
99026,1,0,86623
2538,1,0,77365
43289,1,0,80639
67874,0,0,66026
81981,0,0,86971
17935,0,0,6354
20499,0,0,66432
54348,0,0,42767
66026,0,0,51521
86971,0,-1,95512
4762,0,-1,52708
59321,0,-1,81270
17901,0,-1,82155
50805,1,0,21148
20505,1,0,52698
29245,0,0,25115
83621,0,0,24253
95154,0,0,8397
6041,0,0,99139
46792,1,0,67790
71377,1,0,2465
31628,0,-1,60050
38039,0,-1,2206
94185,0,0,26888
11222,1,0,41432
71450,0,0,19500
26888,0,0,56485
41432,1,0,82826
19500,0,-1,57639
50861,0,-1,18352
34539,1,0,4882
65352,0,0,97615
11423,1,0,37927
99954,1,0,65321
40966,0,0,43840
98388,1,0,56863
31737,0,-1,16810
6572,1,0,17786
38089,1,0,46382
80652,0,0,97793
16132,0,0,51153
4486,2,0,21529
57017,2,0,89210
97793,0,0,7434
51153,0,-1,95267
36540,0,0,77777
43084,0,0,62186
50396,0,0,79078
77777,0,-1,55760
29305,0,-1,51174
81466,1,0,51809
12279,1,0,83359
21019,0,0,13673
32085,1,0,13804
89449,1,0,72923
51809,1,0,38285
83359,0,0,18380
13673,0,-1,58455
47735,0,0,66469
13354,1,0,4677
4096,0,0,69533
95375,0,0,31578
65411,0,-1,83667
95414,0,0,50937
36319,0,0,3015
62764,0,-1,19074
69688,0,-1,13810
32983,1,0,19678
2683,1,0,34876
11423,1,0,37927
99954,1,0,65321
40966,1,0,24440
19678,0,0,27308
39139,0,0,96496
19741,0,0,88558
81981,1,0,33433
17935,0,0,6354
18158,0,0,66208
594,0,-1,54020
84018,0,0,99021
57017,2,0,89210
91051,0,-1,15062
7537,0,-1,84224
30509,0,0,19608
27362,0,0,46464
19608,0,-1,73973
34539,0,0,15764
7762,1,0,39955
16502,1,0,43006
88681,1,0,70400
46045,1,0,13167
15764,0,0,90160
39417,0,0,61112
84357,1,0,99946
56536,1,0,53515
73774,0,0,9755
73530,0,-1,66867
60559,0,0,15549
30878,0,0,21431
38624,0,0,4229
72658,0,-1,83055
8922,0,0,18563
66690,0,-1,85381
2587,0,-1,7585
90573,0,0,28831
20829,1,0,36670
74330,1,0,56073
1748,1,0,83467
42760,1,0,26234
28831,0,0,32919
43289,0,0,37335
93450,1,0,39601
81981,1,0,33433
17935,0,0,6354
88315,0,-1,20429
74312,0,0,15549
30878,0,0,21431
38624,0,0,4229
72658,0,-1,83055
8922,0,0,18563
66690,0,-1,85381
2587,0,-1,7585
96637,1,0,66980
66337,1,0,98530
75077,1,0,40468
47256,1,0,67862
4620,1,0,10629
66980,0,0,71051
98003,0,0,33024
17406,1,0,32995
44800,0,0,79138
87567,0,0,87676
19943,0,0,92699
61112,0,-1,96308
13636,0,0,51905
38980,0,0,46866
91051,0,-1,15062
7537,0,-1,84224
46190,0,-1,73973
81466,1,0,51809
12279,0,0,46098
21019,1,0,86410
32085,1,0,13804
89449,0,0,84381
51809,1,0,38285
46098,0,-1,10693
10143,1,0,22272
58012,0,0,49215
89398,0,-1,64437
8028,1,0,5839
19547,0,0,98451
48324,0,-1,9378
39729,0,0,69265
43929,0,0,77510
98243,0,-1,51872
31761,1,0,2104
1461,1,0,33654
10201,1,0,75592
82380,0,0,37643
95154,1,0,43864
59779,0,0,91764
39417,1,0,76767
76982,0,0,73456
28666,0,0,74055
73774,1,0,41162
99139,0,-1,62717
28599,0,0,55533
31602,0,0,80628
80014,0,-1,57796
27122,0,0,34192
26298,0,-1,18466
17767,0,0,66603
52728,0,-1,4086
38062,0,0,85562
59136,1,0,39417
56203,1,0,76982
83621,0,0,24253
95154,1,0,43864
85562,0,0,90160
39417,0,0,53737
76982,1,0,92571
24253,0,-1,60328
6108,1,0,36318
12503,0,-1,35295
92700,0,-1,77084
53595,1,0,51406
72226,0,0,18159
51406,0,0,99379
83594,0,0,43087
84378,2,0,70854
43087,0,0,52728
70854,0,-1,33065
84899,1,0,55242
54599,1,0,86792
63339,1,0,28730
35518,1,0,56124
92882,1,0,60004
55242,0,0,16119
43071,0,0,78092
62474,0,0,68917
13876,1,0,72141
56643,0,0,2529
99139,0,-1,62717
56409,0,-1,95265
24966,0,0,81815
67325,0,0,1144
80755,0,0,14574
81815,0,0,1303
1144,0,-1,87798
11059,0,-1,4086
38062,0,0,85562
59136,0,0,93128
56203,1,0,76982
83621,1,0,49161
95154,1,0,43864
85562,0,0,90160
93128,0,-1,65074
71188,1,0,21289
2705,0,0,87244
99772,1,0,50832
65904,0,-1,59541
68156,1,0,83573
262,0,-1,72410
98774,0,0,50162
46939,0,0,84378
50162,0,0,43087
84378,0,-1,33065
41717,1,0,28412
72530,1,0,43610
81270,1,0,46661
69801,0,0,80402
99026,1,0,86623
2538,1,0,77365
43289,1,0,80639
19741,0,0,88558
43348,0,0,18216
17935,0,0,6354
20499,0,0,66432
54348,0,0,42767
88558,0,0,93450
18216,0,-1,95512
4762,0,-1,52708
59321,0,-1,81270
17901,0,-1,82155
81721,1,0,68416
67773,1,0,83614
60161,1,0,3017
48692,1,0,30411
89704,0,0,47990
2538,0,0,5785
90953,1,0,54348
93450,0,0,12938
81981,0,0,86971
27416,1,0,91475
5785,0,0,34023
54348,0,0,42767
12938,0,-1,23673
79183,2,0,79915
24988,0,0,33427
35750,0,0,24169
28166,0,-1,76740
97254,0,-1,28669
90817,0,-1,13810
96637,1,0,66980
66337,1,0,98530
75077,1,0,40468
47256,1,0,67862
4620,1,0,10629
66980,0,0,71578
98530,0,0,33024
17406,0,0,32381
77340,0,0,74644
73774,1,0,41162
99139,0,-1,62717
56409,0,-1,95265
24966,0,0,81815
52870,0,0,84474
57336,0,0,3293
81815,0,0,1303
84474,0,-1,87798
52728,0,-1,4086
38062,1,0,8405
7762,1,0,39955
16502,0,0,71377
74644,1,0,56536
2529,1,0,73774
6041,0,0,30373
39139,1,0,60137
63724,0,0,52021
8272,1,0,5251
86623,0,0,4966
97469,0,-1,20429
41526,0,0,9095
72395,0,-1,24542
3399,0,0,16
47418,0,0,88050
94247,0,-1,75186
34079,0,-1,51174
68602,0,0,65189
1948,1,0,73028
10688,0,0,63724
66991,1,0,87770
94876,1,0,66121
23933,0,-1,66867
89805,0,0,74312
59150,0,0,72395
73258,1,0,38624
79733,0,0,72658
74312,0,0,15549
72395,0,-1,24542
3399,1,0,62806
37433,0,-1,81977
21758,0,0,61051
60698,1,0,85576
61051,0,-1,61637
81538,1,0,51881
12351,0,0,28950
56203,1,0,76982
83621,1,0,49161
95154,1,0,43864
59779,1,0,34606
28950,0,0,86263
76982,0,0,66081
49161,0,0,60815
43864,1,0,33787
34606,0,0,44247
86263,0,-1,65074
53474,0,-1,83209
80020,0,-1,89370
78532,0,0,91033
54155,0,-1,828
68602,1,0,38945
38302,0,0,79455
54376,0,0,67874
87493,1,0,8272
99026,1,0,86623
2538,1,0,77365
35887,0,0,94493
51521,0,0,35418
81981,1,0,33433
17935,1,0,69144
20499,0,0,66432
94493,0,0,14275
35418,0,-1,23673
18808,0,0,79915
90127,0,0,66449
12944,0,-1,55252
77428,0,-1,75186
34079,0,-1,51174
77330,0,0,39780
15426,1,0,47619
24166,1,0,50670
12697,1,0,94416
53709,0,0,43840
23933,0,-1,66867
89805,2,0,49101
88203,1,0,38280
19696,1,0,28013
1146,1,0,45542
49101,0,0,45392
30878,0,0,21431
38624,0,0,4229
28452,0,0,53243
45392,0,0,41526
21431,0,-1,24542
16,0,-1,61397
23545,0,-1,99071
81466,1,0,51809
12279,0,0,46098
21019,0,0,13673
32085,1,0,13804
89449,1,0,72923
51809,1,0,38285
46098,0,-1,4517
87515,0,-1,82766
3531,1,0,54810
598,1,0,51658
86661,0,0,11168
13572,0,0,29330
52077,0,0,87098
88832,0,-1,33515
86517,0,0,23442
25800,0,-1,83568
73681,1,0,44024
43381,1,0,75574
52121,1,0,78625
24300,1,0,6019
81664,1,0,48786
44024,0,0,51155
78107,1,0,80943
81158,0,0,2465
56536,0,0,99424
66121,0,0,30257
34523,0,0,34023
54348,0,0,42767
48933,0,0,15699
86971,0,-1,95512
4762,0,-1,52708
26888,0,0,56485
4171,0,-1,94759
43400,0,-1,4215
45002,1,0,15345
75815,1,0,46895
68203,1,0,49946
56734,1,0,77340
97746,1,0,20107
15345,0,0,27586
39417,0,0,53737
76982,1,0,92571
49161,0,0,60815
43864,0,0,78521
34961,0,0,92699
61112,0,-1,96308
13636,0,0,47755
18478,0,-1,28297
57998,0,0,36401
38825,0,-1,14867
93185,0,-1,33065
45002,1,0,15345
75815,0,0,28950
56203,0,0,80342
83621,1,0,49161
95154,1,0,43864
59779,0,0,91764
28950,0,0,93638
87717,0,-1,74989
56867,1,0,83197
92821,1,0,43857
88534,0,-1,99765
40198,0,0,13399
3399,0,0,16
93410,1,0,21072
13399,0,0,91586
16,0,-1,61397
28906,0,0,93179
66101,0,-1,41579
9374,0,0,3428
40187,0,0,74006
48927,1,0,14318
76345,0,0,7330
28560,1,0,12034
14631,0,-1,91105
58042,0,0,91728
52819,1,0,2896
72576,0,-1,91495
28247,1,0,42105
68075,0,-1,42519
80143,1,0,16841
98774,1,0,26436
16841,0,0,20946
16420,0,0,98706
20946,0,0,46939
98706,0,-1,4086
38062,1,0,8405
7762,1,0,39955
16502,0,0,71377
74644,1,0,56536
2529,1,0,73774
6041,0,0,99139
46792,1,0,67790
71377,0,0,16637
56536,0,0,99424
66121,1,0,33509
30373,0,-1,66867
49101,2,0,4260
92969,0,0,59150
82647,0,-1,57796
27122,0,0,34192
63559,0,0,97378
71700,0,0,64649
34192,0,-1,45687
38445,0,-1,82155
66057,0,0,83746
20505,1,0,52698
29245,1,0,55749
17776,1,0,83143
58788,0,0,12606
92699,0,-1,62717
